entry	symbol	decompile_status	decompile_file	file_present	evidence_class	research_status	next_action	textual_callers_count	textual_callers	textual_callees_count	textual_callees	source_cpp_h_references	callgraph_basis	ghidra_catalog_present	ghidra_calling_convention	ghidra_signature	ghidra_body_min	ghidra_body_max	ghidra_body_address_count	ghidra_is_thunk	ghidra_thunk_target	ghidra_direct_callers_count	ghidra_direct_callers	ghidra_direct_callees_count	ghidra_direct_callees	ghidra_incoming_ref_count	ghidra_incoming_flow_refs	ghidra_incoming_data_refs	ghidra_incoming_other_refs
004D53A2	FUN_004d53a2	ok	004d53a2_FUN_004d53a2.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	0		0		0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d53a2(void)	004D53A2	004D53B1	16	false		0		0		1	0	1	0
004D53B2	FUN_004d53b2	ok	004d53b2_FUN_004d53b2.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	0		0		0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d53b2(void)	004D53B2	004D5447	150	false		0		0		1	0	1	0
004D5450	FUN_004d5450	ok	004d5450_FUN_004d5450.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	0		2	FUN_004D5369;FUN_0058EA3A	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d5450(void)	004D5450	004D547D	46	false		0		2	004D5369:FUN_004d5369;0058EA3A:FUN_0058ea3a	1	0	1	0
004D5480	FUN_004d5480	ok	004d5480_FUN_004d5480.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	7	FUN_00489A3E;FUN_004D56EB;FUN_004ED2A0;FUN_00506F9D;FUN_0051148A;FUN_00511EC4;FUN_005284A0	4	FUN_004310A0;FUN_00493DB0;FUN_004B3AA0;FUN_0053E1D2	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d5480(void)	004D5480	004D56EA	619	false		7	00489A3E:FUN_00489a3e;004D56EB:FUN_004d56eb;004ED2A0:FUN_004ed2a0;00506F9D:FUN_00506f9d;0051148A:FUN_0051148a;00511EC4:FUN_00511ec4;005284A0:FUN_005284a0	7	00431070:CSimpleArray<>;004310A0:FUN_004310a0;00493DB0:FUN_00493db0;004B3AA0:FUN_004b3aa0;0053E1D2:FUN_0053e1d2;0058F020:_memset;0058F1F0:__ftol	19	19	0	0
004D56EB	FUN_004d56eb	ok	004d56eb_FUN_004d56eb.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	1	FUN_004D7FF0	7	FUN_00430F50;FUN_00493D20;FUN_004D5480;FUN_004E2A30;FUN_0053E26B;FUN_0054AC09;FUN_0058F220	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d56eb(void)	004D56EB	004D5994	682	false		1	004D7FF0:FUN_004d7ff0	8	00430F50:FUN_00430f50;00493D20:FUN_00493d20;004D5480:FUN_004d5480;004E2A30:FUN_004e2a30;0053E26B:FUN_0053e26b;0054AC09:FUN_0054ac09;0058F0CA:operator_new;0058F220:FUN_0058f220	1	1	0	0
004D5995	FUN_004d5995	ok	004d5995_FUN_004d5995.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	0		3	FUN_004BD420;FUN_004BE7B1;FUN_004C0746	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d5995(void)	004D5995	004D5CFC	872	false		0		4	004BD420:FUN_004bd420;004BE7B1:FUN_004be7b1;004C0746:FUN_004c0746;0058F0CA:operator_new	1	0	1	0
004D5CFD	FUN_004d5cfd	ok	004d5cfd_FUN_004d5cfd.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	0		1	FUN_0053E47D	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d5cfd(void)	004D5CFD	004D5D41	69	false		0		1	0053E47D:FUN_0053e47d	1	0	1	0
004D5D42	FUN_004d5d42	ok	004d5d42_FUN_004d5d42.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	0		3	FUN_00430F50;FUN_004BE1EF;FUN_0058F220	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d5d42(void)	004D5D42	004D619D	1116	false		0		3	00430F50:FUN_00430f50;004BE1EF:FUN_004be1ef;0058F220:FUN_0058f220	1	0	1	0
004D619E	FUN_004d619e	ok	004d619e_FUN_004d619e.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	0		15	FUN_0040BD30;FUN_00423B00;FUN_00430F20;FUN_00430F50;FUN_004310A0;FUN_00493BF0;FUN_00493C30;FUN_00493D50;FUN_00493DB0;FUN_004BD906;FUN_004BDA22;FUN_004C8C60;FUN_004C8F70;FUN_004EC9A0;FUN_0054AC09	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d619e(void)	004D619E	004D7E5D	7360	false		0		18	0040BD30:FUN_0040bd30;00423B00:FUN_00423b00;00430F20:FUN_00430f20;00430F50:FUN_00430f50;004310A0:FUN_004310a0;00493BF0:FUN_00493bf0;00493C30:FUN_00493c30;00493D50:FUN_00493d50;00493DB0:FUN_00493db0;004BD906:FUN_004bd906;004BDA22:FUN_004bda22;004C8C60:FUN_004c8c60;004C8F70:FUN_004c8f70;004EC9A0:FUN_004ec9a0;0054AC09:FUN_0054ac09;0058F0CA:operator_new;0058F1F0:__ftol;005900CE:_rand	1	0	1	0
004D7E5E	FUN_004d7e5e	ok	004d7e5e_FUN_004d7e5e.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	0		2	FUN_004BD420;FUN_004BE7B1	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d7e5e(void)	004D7E5E	004D7FB0	339	false		0		3	004BD420:FUN_004bd420;004BE7B1:FUN_004be7b1;0058F0CA:operator_new	1	0	1	0
