record	entry	name	from	to	type	symbol	value
instruction	0040e817	FUN_0040e817	0040e820	0040e827	FALL_THROUGH	FUN_0040e817	bytes=C745FC00000000;mnemonic=MOV;instruction=MOV dword ptr [EBP + -0x4],0x0;inputs=0x0,0xfffffffc,EBP;results=;flows=;fallthrough=0040e827
instruction_reference	0040e817	FUN_0040e817	0040e820	Stack[-0x8]	WRITE		operand_index=0;primary=true;source=ANALYSIS
instruction	0040e817	FUN_0040e817	0040e827		UNCONDITIONAL_JUMP	FUN_0040e817	bytes=EB09;mnemonic=JMP;instruction=JMP 0x0040e832;inputs=;results=;flows=0040e832;fallthrough=
instruction_reference	0040e817	FUN_0040e817	0040e827	0040e832	UNCONDITIONAL_JUMP	LAB_0040e832	operand_index=0;primary=true;source=DEFAULT
instruction	0040e817	FUN_0040e817	0040e829	0040e82c	FALL_THROUGH	FUN_0040e817	bytes=8B45FC;mnemonic=MOV;instruction=MOV EAX,dword ptr [EBP + -0x4];inputs=0xfffffffc,EBP;results=EAX;flows=;fallthrough=0040e82c
instruction_reference	0040e817	FUN_0040e817	0040e829	Stack[-0x8]	READ		operand_index=1;primary=true;source=ANALYSIS
instruction	0040e817	FUN_0040e817	0040e82c	0040e82f	FALL_THROUGH	FUN_0040e817	bytes=83C001;mnemonic=ADD;instruction=ADD EAX,0x1;inputs=EAX,0x0,0x1,0xff;results=CF,EAX,PF,ZF,SF,OF;flows=;fallthrough=0040e82f
instruction	0040e817	FUN_0040e817	0040e82f	0040e832	FALL_THROUGH	FUN_0040e817	bytes=8945FC;mnemonic=MOV;instruction=MOV dword ptr [EBP + -0x4],EAX;inputs=EAX,0xfffffffc,EBP;results=;flows=;fallthrough=0040e832
instruction_reference	0040e817	FUN_0040e817	0040e82f	Stack[-0x8]	WRITE		operand_index=0;primary=true;source=ANALYSIS
instruction	0040e817	FUN_0040e817	0040e832	0040e835	FALL_THROUGH	FUN_0040e817	bytes=8B4D08;mnemonic=MOV;instruction=MOV ECX,dword ptr [EBP + 0x8];inputs=EBP,0x8;results=ECX;flows=;fallthrough=0040e835
instruction_reference	0040e817	FUN_0040e817	0040e832	Stack[0x4]	READ		operand_index=1;primary=true;source=ANALYSIS
instruction	0040e817	FUN_0040e817	0040e835	0040e838	FALL_THROUGH	FUN_0040e817	bytes=8B55FC;mnemonic=MOV;instruction=MOV EDX,dword ptr [EBP + -0x4];inputs=0xfffffffc,EBP;results=EDX;flows=;fallthrough=0040e838
instruction_reference	0040e817	FUN_0040e817	0040e835	Stack[-0x8]	READ		operand_index=1;primary=true;source=ANALYSIS
instruction	0040e817	FUN_0040e817	0040e838	0040e83e	FALL_THROUGH	FUN_0040e817	bytes=3B91DC010000;mnemonic=CMP;instruction=CMP EDX,dword ptr [ECX + 0x1dc];inputs=0x0,0x1,ECX,EDX,0x1dc,0xff;results=CF,PF,ZF,SF,OF;flows=;fallthrough=0040e83e
instruction	0040e817	FUN_0040e817	0040e83e	0040e840	CONDITIONAL_JUMP	FUN_0040e817	bytes=7D6F;mnemonic=JGE;instruction=JGE 0x0040e8af;inputs=SF,OF;results=;flows=0040e8af;fallthrough=0040e840
instruction_reference	0040e817	FUN_0040e817	0040e83e	0040e8af	CONDITIONAL_JUMP	LAB_0040e8af	operand_index=0;primary=true;source=DEFAULT
instruction	0040e817	FUN_0040e817	0040e840	0040e847	FALL_THROUGH	FUN_0040e817	bytes=C745F400000000;mnemonic=MOV;instruction=MOV dword ptr [EBP + -0xc],0x0;inputs=0x0,EBP,0xfffffff4;results=;flows=;fallthrough=0040e847
instruction_reference	0040e817	FUN_0040e817	0040e840	Stack[-0x10]	WRITE		operand_index=0;primary=true;source=ANALYSIS
